"Date","Chrome","Safari","Firefox","Edge","IE","Opera","Edge Legacy","360 Safe Browser","Yandex Browser","Mozilla","Coc Coc","QQ Browser","UC Browser","Sogou Explorer","Whale Browser","Chromium","Maxthon","Pale Moon","Vivaldi","Waterfox","Other"
2020-02,69.25,8.53,9.53,0.28,3.56,2.34,4.62,0.05,0.48,0.19,0.24,0.17,0.23,0.12,0.07,0.17,0.07,0.02,0.02,0.01,0.04
2020-03,68.11,8.93,9.25,0.57,3.77,2.37,4.56,0.62,0.46,0.2,0.25,0.17,0.21,0.12,0.08,0.14,0.08,0.02,0.02,0.01,0.04
2020-04,67.15,9.7,9.18,1.01,3.26,2.37,4.86,0.69,0.47,0.23,0.2,0.2,0.2,0.15,0.09,0.09,0.08,0.02,0.02,0.01,0.03
2020-05,68.33,9.4,8.91,1.24,3,2.41,4.41,0.65,0.44,0.21,0.19,0.17,0.18,0.13,0.08,0.1,0.07,0.02,0.02,0.01,0.03
2020-06,69.42,8.74,8.48,2.37,2.88,2.39,3.45,0.64,0.44,0.18,0.21,0.16,0.17,0.13,0.1,0.11,0.07,0.02,0.01,0.01,0.02
2020-07,69.55,8.36,8.61,4.12,2.76,2.43,1.93,0.65,0.42,0.18,0.22,0.18,0.14,0.13,0.09,0.1,0.07,0.02,0.01,0.01,0.03
2020-08,69.87,8.27,8.34,5.02,2.61,2.4,1.3,0.66,0.41,0.18,0.22,0.17,0.13,0.12,0.09,0.07,0.07,0.02,0.01,0.01,0.03
2020-09,69.71,8.73,8.15,5.54,2.51,2.3,0.94,0.66,0.4,0.18,0.2,0.16,0.11,0.12,0.1,0.06,0.07,0.01,0.01,0.01,0.03
2020-10,70.33,8.87,7.69,5.83,2.15,2.43,0.77,0.59,0.4,0.16,0.17,0.15,0.09,0.11,0.09,0.05,0.07,0.01,0.01,0.01,0.02
2020-11,67.71,9.83,7.95,6.82,2.55,2.46,0.69,0.67,0.39,0.2,0.06,0.19,0.1,0.12,0.09,0.04,0.06,0.02,0.01,0.01,0.03
2020-12,65.96,10.43,8.39,7.43,2.54,2.59,0.57,0.68,0.44,0.21,0.08,0.18,0.11,0.12,0.1,0.04,0.06,0.02,0.01,0.01,0.03
2021-01,66.59,10.38,8.1,7.81,1.94,2.64,0.52,0.65,0.43,0.21,0.07,0.19,0.1,0.11,0.09,0.04,0.06,0.02,0.01,0.01,0.03
2021-02,66.47,10.27,8.17,8.01,1.89,2.68,0.48,0.68,0.41,0.19,0.08,0.2,0.1,0.11,0.09,0.04,0.07,0.02,0,0.01,0.03
